instruction_zh,input_zh
写一篇短文，描述您最喜欢的一本书，并解释为什么它对您有影响。,"书名：《小王子》
作者：安托万·德·圣-埃克苏佩里"
"在以下文本中找到并替换一个错误的单词。
电影""The Lion King""是有史以来最卖座的动画电影之一，以它动人的故事情节和出色的音效而著称。",
给定一个音频剪辑，将其翻译成文本。,音频剪辑是一个人用德语演讲的视频。
给我一些关于瑜伽的基础姿势示范视频,
根据以下描述，生成一个可以回答问题和执行任务的语音助手。,描述：我需要一个语音助手能够回答天气预报、设置提醒并查询百科知识的问题。
请你以5行不超过50个字的诗歌，创作一个关于夏天的主题。,你正在参加一场诗歌比赛。
将以下英文句子翻译成中文。,"""The quick brown fox jumped over the lazy dog."""
请列出你最喜欢的五个影视作品，并解释它们为什么这么特别。,我想要看一些好的电影或电视剧。请向我推荐你最喜欢的五个影视作品，并解释为什么你喜欢它们。
使用NMT模型（神经机器翻译）翻译以下文本，翻译成目标语言（自己设定）。,“今天的天气很热。”
给出一个场景，写一篇关于科幻元素的小说。,在太空中，一艘探险飞船正在寻找新的星球来消费人类资源。他们发现了一个看起来像是未开发的地球，但这个星球的未来似乎不那么确定。
找到一个与社交媒体相关的新闻。,
总结这个期刊文章的主要内容，并撰写一份评价。,一篇经济期刊的文章
请告诉我影片《泰坦尼克号》的主演是谁？,
将以下列表按字母顺序排序。,列表：[鸡肉、牛肉、猪肉、鱼肉、羊肉]
请你给我列出5个使用电动机的日用品。,
写一个简单的电影剧情梗概。,你正在写一篇电影评论，需要在文章开头写一个简单的电影剧情梗概。
将以下电子邮件中的所有链接和电话号码删除：“请回答下面的问题并回复此邮件——你最喜欢的颜色是什么？”,
请问哪一个国家是世界上最小的国家？请给出答案，并提供一些关于该国的背景和历史信息。,
请将以下两个句子合并为一个句子：I saw the postman. He was crossing the street.,
从以下选项中选择一个反义词。,"A. 底层的 
B. 平坦的 
C. 无缝的 
D. 宽敞的"
为一组价值观添加描述。,勇气，正直和诚实
给定一组数据，将其分为指定的类别。,提供一些学生的考试成绩，需要分为A、B、C、D类。
给出一组关键词，搜索相关音乐并建议相似的歌曲。,关键词：节奏，快乐，自然，和平。
请提供一些减压的方法。,
在给定的列表中，将所有偶数挑选出来。,"列表：[1, 4, 7, 8, 11, 12, 17, 20]"
根据给定的数据集，创建一个能够识别恶意软件的模型。,数据集包含许多不同的恶意软件变体，其中每个变体都由细节和指令组成。
列出三个最有名的手势游戏。,儿童游戏
请计算以下数学表达式的结果。,表达式：3 * （4 + 5）-2
根据给定的图像，设计一个适合该图像的LOGO。,一张照片，照片中是一家卖书的小店，外观为蓝色的墙壁，门口有一个写有“书店”的招牌。
请检查并纠正以下文章中的任何拼写或语法错误。,以下是一份求职信，我将发送给一家新的公司。
为这篇文章写一个标题,我写了一篇关于未来人工智能发展的文章，但还没有标题。
生成一篇与环境保护有关的文章。,
请创建一个简单但有用的Python函数。函数应该接受一个整数参数，并检查它是否是素数。,
为这个公司创建一个Twitter账户。,这个公司想要在社交媒体上拥有一个Twitter账户以扩大它的品牌影响力。
解释并展示一些示例，在文本编辑器中如何将一个字符串与另一个字符串相连。,你正在编写一篇关于文本编辑器的文章，并需要一些有关连接字符串的指导。
将给定的英文句子翻译成法语。,"英文句子：""The cat sat on the mat."""
给出一份用于销售物品的设计简报，包括产品特征、目标市场、营销策略等。,我们是一家丝绸床品制造商，要打入国内高档床品市场。
