instruction_zh,input_zh
向我推荐一个旅游胜地，并说说这个地方有什么好玩的。,
根据一位男性客户的简要描述，向他推荐一种合适的衬衫。,男性客户：我希望找到一件基本的衬衫，可以在工作时和晚上外出时穿着。我喜欢简单干净的设计和舒适的面料。
根据给定的图片描述生成一份简要摘要。,在这张图片上，有一只黄色的狗正在沙滩上奔跑，它的舌头甚至都快要掉出来了。请根据这张图片的描述生成一份简要摘要。
列举一些国际足球比赛中的常见违规行为。,
使用自己定义的词汇写一个科幻故事，至少包括5个自定义的词汇。,
使用下面的数据集，建立一个适当的模型来预测房价。,数据集链接：https://www.kaggle.com/c/house-prices-advanced-regression-techniques/data
请从以下选项中选择最佳答案。,"你需要在接下来的一周内完成以下任务之一。以下是你可以选择的任务：

选项：
A. 写一篇研究论文。
B. 给一次演讲，持续30分钟。
C. 设计一个网站，并发布它。"
找到指定主题的10个最佳网络资源并分享它们。,我正在为我的公司的研究项目收集网络资源。
设计一件时装。,风格：未来主义
根据所给细节，创建一个定制的数据分析方案。,公司的财务数据集
请在5分钟内写下一首关于季节变换的诗歌。,你正在野外散步，感受到了四季的变化。
对给出的数据集进行聚类，并输出聚类所属的标签。,我有一组包含不同个体的数据，可以帮我对这些个体进行聚类，并输出每个个体所属的类别标签吗？
分类这个列表中的元素为数字或字符串。,"列表: [1, ""apple"", ""orange"", 5, ""cat"", 9]"
给出一张图片并描述其内容。,"请描述下面这张图片：
（插入一张图片）"
在以下句子中使用适当的语法。为了使句子更具流畅性和清晰度，您可以添加适当的标点符号，但不要更改句子的意思。,“虽然我非常努力地工作，但我仍然不能自己支持家庭。”
在给定的文本文件中，查找所有包含字符串“apple”的行，并将它们输出到一个新文件中。,文件名：example.txt
根据用户个人信息和目标，制定一份定制的健身计划。,用户是一名健身爱好者，但不知道如何安排训练计划。
为我的个人品牌制定一个市场营销计划。,我是一名自由职业者，正在努力推广我的服务和产品。
请列出三个必要步骤，以确保您的电脑网络安全。,您是一名普通用户，需要做一些事情以确保您的电脑和网络不受攻击。
请说明挪威的三个主要出口产品是什么。,挪威是一个以海洋经济为主的国家。该国主要出口石油、天然气和渔产品。
生成一个数码管闹钟的时间设置。时间应该设置在未来2小时内，分钟数字必须以0或者5结尾。,
根据给定文本中的关键词，生成一篇类似的文本。,"文本：
""约翰是个飞行员。他从伦敦飞到纽约。他很喜欢他的工作。"""
请提供一些帮助人们提高沟通技巧和建立更好关系的建议。,良好的沟通和人际关系对个人和职业生涯的发展都有着重要的影响。
输入两段文字，比较它们的相似度。,"I love dogs.
I love cats."
给出一个数字，请转换为罗马数字。,
"将以下表格数据整理成柱状图。
数据：
产品      销售额
A          10000
B          20000
C          15000",
请告诉我当前的时间。,我需要知道现在的时间，以便按时赴约。
总结这篇文章的结论。,文章标题为“喜剧在企业的纪律机器中有什么作用？”，文章的结论部分长约200字。
根据给出的措辞撰写一篇博客文章，讨论社交媒体的利与弊。,"题目：社交媒体的利与弊
措辞：社交媒体已成为当今社会的焦点。许多人热衷于使用社交媒体与朋友和家人交流，但也有许多负面影响。"
根据给定的网站，找到其中的联系方式。,网站：www.apple.com
编辑以下文章，使之更加流畅地流畅。,原文：尽管许多事情都已经过时，但历史仍然会对当今世界产生很大的影响，而理解历史也是理解现在和未来的关键。
为一篇旅游指南编写一篇介绍。,这篇旅游指南是关于某个城市或者国家的，你需要根据这个地方的历史、文化和景观进行介绍。
播放一首摇滚乐。,你想要听一首动听的摇滚乐，但不知道听哪首。请要求GPT语言模型从石器时代到现代的所有摇滚乐中播放一首。
列举出三个你认为最重要的科技发明，并解释它们对人类的影响。,
根据给定的拼音，生成对应的汉字。,拼音：zhōng guó.
找到关于全球气候变化的一份新闻报道。,我们团队正在为一个全球变暖的演示项目做准备，需要一些关于最新气候发展的报道。
为一家咖啡店创建一个广告口号。,在这个任务中，你需要为一家咖啡店创建一个广告口号。这个广告口号应该吸引顾客进入这家咖啡店并购买他们的产品。
请标示您可行驶的最高时速。,您要申请一份驾驶证。
请设计一份全面的健身计划，包括有氧运动、重量训练、饮食等方面，以帮助我健康减重。,我现在身材有些肥胖，想通过运动和健康饮食减重。您能为我设计一份完整的减重计划吗？
为以下每个职业提供3个优点和3个缺点。,"厨师
程序员
教师"
写一封信，向客户介绍公司新产品线。,B2B销售
根据以下十张图片中的两组，将它们分类到正确的组别中。,十张图片，其中五张有动物，五张没有动物。
给定一组数字，计算它们的平均值。,"""23，45，89，12，67，31"""
列举出你认为最好的三本小说，并解释你为什么喜欢它们。,
根据提供的数据，为一家餐厅创建一个菜单，包括前菜、主菜和饮品。,餐厅名称、类型、位置和可用食材。
找到一个在今天闹肚子的人急需的温和的食谱。,我今天早上感觉有点恶心和腹泻。
为用户找到与其当前搜索相关的最新新闻。,用户正在搜索iPhone 12 Pro Max的评论。
向我推荐一部你最喜欢的电影，并解释一下为什么你喜欢它。,
将给定的英文文本翻译成中文。,无。
创造一份有趣的旅游行程计划。,"旅游目的地：夏威夷
旅游时间：7天
预算：每人5000美元
兴趣：对当地文化和海洋生物有兴趣"
将“火车站”这个词与“清晨”有关联。,
生成一组10个随机数。,
请告诉我现在的天气情况。,
创建一个电子表格，其中包括以下信息：姓名、地址、年龄和电话号码。,你需要管理你的客户信息。
找到一个新闻故事，并简要介绍它。,
给定一组数据，预测这组数据中的下一个数字是多少。,"1, 1, 2, 3, 5, 8, 13, 21, 34, 55, ?"
请用三个词来形容你身边的人。,这是一项命令式的指令任务，要求用三个词来形容你身边的人。
假设你正在为一家新公司设计网站，请准备一个网站风格指南。,公司：一家卖家电的电商公司，希望网站能够吸引消费者并提供良好的购物体验。
找到文本中的错误或缺失，并进行更正或填写。,"以下是一篇文章，其中可能包含一些错误或缺失：
尽管有许多改进，但医生和护士还在寻找提高医院就诊体验的方法。无论是在等待时间，清洁程度，还是诊疗质量等方面，都还有改进的空间。"
编写一个长句，其中包含三种不同的从句。,
给出以下单词的同义词：颓废、抑郁、消沉。,
发一个推文，介绍一部自己最近看过的电影。,您最近看了一部电影，想和您的朋友和关注者分享您的看法。
找出五部经典小说的作者。,《红楼梦》、《西游记》、《水浒传》、《三国演义》、《围城》
请使用一篇短文描述如何减少塑料污染。,全球塑料垃圾产生的趋势正在上升，对环境产生了很大影响。请分享你认为最有效的减少塑料污染的方法。
根据上下文中的提示，创建一个关于宠物的故事。,请在文本中包含以下单词：爱，狗，冒险，善良，巨大。
给出一些食谱建议，以在不使用肉类或任何动物产品的情况下制作美味的早餐。,
从个人、社会、国际的角度，为什么保护环境是必须的？,
用一句话概括以下文章的主旨。,https://techcrunch.com/2021/08/26/google-play-store-will-require-developers-to-provide-privacy-safety-details/
为一个应用程序编写一篇使用说明书。,应用程序类型：家庭财务管理工具
将以下员工加入到正确的部门：张三，李四，王五，赵六。,在一个公司内部，有几个新员工被招聘，但他们还没有被分配到正确的部门。请将张三，李四，王五和赵六分别分配到正确的部门中。
将以下句子翻译为英语：我想点一份披萨和一杯可乐。,
为一个软件编写测试用例，其中一个部分包括输入和输出。您的测试用例应该具体和详细，以便可以对其进行测试验证。,
给我一个包含数字和文本的HTML表格代码的示例。,我正在学习HTML，需要一些代码示例来更好地理解它。
简述一个流行的开放源码项目，并说明它为什么受欢迎。,
"将以下输入字符串转换为小写字母形式：""HeLLo WoRLd!""",
编写一个书评，评价您最近读的一本好书。,
列出五个最流行的旅游目的地。,我想计划一次旅行，但我还没有决定去哪里。请给我列出五个最流行的旅游目的地，以及为什么它们受欢迎。
建议一种早餐食谱，以满足一个奶制品过敏患者的要求。,用户：“我对牛奶过敏，但我想吃丰富、健康的早餐，你有什么建议吗？”
生成一份50个单词的短篇小说，主题为“失去了”。,作为一名创意作家，你需要写一篇50个单词的短篇小说，主题为“失去了”。请利用你的想象力和文字功底，创造出一个复杂和动人的故事。
给我一些关于某个品牌的最新产品评论。,华为
"编辑以下句子，使其更通顺、更连贯。
句子：他骑着自行车到了那条街然后下车。
编辑后的句子应该是：他到了那条街，然后骑自行车停下来。",给你一句话，它看起来不太通顺。
使用两个以上的材料，描述这个世界上任何文化中的一种独特的庆祝方式。,"已知：
- 某个国家的传统舞步
- 一种独特的食品"
将以下两个数字相加：542和154。,
给我找到一份关于超级计算机的文章，并从中摘取关于 GPU 的信息。,
描述您最深入的一次旅行经历。,去年夏天，我和我的家人在南美洲巴西度过了一段美妙的假期，我们看到了美丽的雨林和在里约热内卢的美丽沙滩。
将文本中所有的逗号替换为句号。,"给定文本：""昨天我和朋友一起去了一家新开的餐厅，结果我们发现那里的食物都非常美味，价格也实惠。"""
将一篇文本转换为繁体中文。,无。
将这些单词分类为动物和植物。,牛、鱼、玫瑰、树、蛇、苹果。
"请将以下代码整理成更加易于阅读的形式：

int x = 10; float y = 2.5f; string s = ""hello"";",你正在学习代码整理。
根据给定的音频文件，写出一份识别出的语音转录稿。,"音频文件：https://www.youtube.com/watch?v=dQw4w9WgXcQ
音频长度：5分钟"
"请检查文本中是否有语法错误。

文本：""我将在明天的考试中获得A级的成绩""",
给定一个单词列表，找出其中符合特定条件的单词，并进行排列。,"[""apple"", ""banana"", ""grape"", ""peach"", ""orange""]"
请根据下面的材料，为文章撰写一个适当的标题。,"文章：
最近，由于工厂的造水和治理方式，现代化水文景观逐渐出现了大量的水体化学污染，形成了一个严重的社会问题。"
根据用户行为数据，提出适当的商品推荐。,"用户：
- 名称：Chris
- 年龄：25
- 位置：纽约市
用户行为数据：
- 最近搜索了一些新的智能手机
- 在过去的三个月里，购买了一些运动鞋和衣服"
