instruction_zh,input_zh
请告诉我接下来会发生什么事情。,今天是儿子的生日，他还没有回家。我在等他的电话。
给定一个数据集，构建一个可以预测某个特定事件的模型。,数据集：城市人口数量、平均收入、失业率、犯罪率、当地学校的平均表现等数据。需要预测的事件是某城市是否值得投资。
创建一个12月份的日历表，其中包括所有节假日和生日。,
给出一个适合拍摄的弄脏物品的灰度值。,
告诉我几个可以在家工作的兼职工作选项。,我正在寻找一份可以在家里做的兼职工作，以便可以更好地照顾我的孩子。
请写一篇文章，向人们介绍如何保持健康的生活方式。,
请写一个简要的说明，介绍如何学习一门新技能。,我想学习如何使用一种新的软件，但是我从来没有使用过它。
提供一个完整的、详细的回答来解释机器学习是什么。,
判断以下两个单词是否为近义词。,"请判断""超级""和""非常""是否为近义词。"
解释下列缩写的含义。,CIA，NASA，UNICEF，NATO。
打开天气应用程序并告诉我明天的天气预报。,
"请将以下英文短句翻译成法语。
""I have a dream.""",
为一组文本生成摘要，并对生成的摘要进行评估。,一组新闻文章，需要为每篇文章生成一个摘要，然后对生成的摘要进行评估，以确保它们能够准确地传达文章的主题和要点。
请列出你生活中最崇拜的三个人，并描述他们对你的影响。,
为给定的一段音频文件添加背景音乐。,给定一个3分钟的音频文件，其中是一个人讲述关于旅游的故事。
创建一个随机数生成器，它可以在1到100之间生成一个整数。,
生成一首关于爱的诗歌。,无。
在以下文本中，高亮显示名词短语。,研究表明，锻炼脑力比锻炼身体更重要。如果你每天都锻炼，你的大脑会更加清晰，而且你会更有创造力。
告诉我有关如何在家里养宠物的一些事情。,我正在考虑养一只小宠物，但是我不确定如何在家里照顾它。
找到我最喜欢的歌手的最新专辑，并将其播放出来。,我最喜欢的歌手是泰勒·斯威夫特。
请列出您认为对世界最有益的10项科技发明。,
根据下列指示，编辑一篇文章。,"这是一篇有关体育赛事的文章。原文中有许多语法和拼写错误，你需要对其进行编辑，以使文章更为流畅。

原文如下：

The Game of Thrones is an amazing television show. It takes place in a fantastical world, where dragons and other magical creatures exists. The should is characterized by unexpected plot twists and strong characters, especially the dynamic female protagonist."
"将这句话翻译成西班牙语。
""我想学习西班牙语，因为我计划在明年去旅行。""",
生成一封邮件，询问客户是否对我们的服务感到满意。邮件应该简短明了，但表达出我们的关注和对服务的完美追求。,
给定一个关键词，在Google Scholar上搜索相关的前10篇论文，并从这些论文中生成一篇综述文章。,这个文本写给一个学术研究者，他需要对某个特定领域的文献进行综述。
找到一篇关于未来智能家居发展趋势的文章，并总结其中的主要观点。,
为一本小说写一份书评。,你最近读了一本你认为很棒的小说，需要为它写一篇书评，向其他读者介绍这本书。
给出一段文章，让GPT模型从中提取最重要的关键字或短语。,文章：尽管新冠肺炎疫情对全球经济造成了严重影响，但最近公布的数据显示，在房地产市场方面，越来越多的国家正在迎来复苏。
用社交网络的聊天记录训练一个智能聊天机器人。,你需要系统地分析此前收集的聊天记录，并确定机器人如何对用户进行响应。
请写一段简短的说明，说明什么是雪茄。,
对下列影片进行分类。,请将以下影片分类：《泰坦尼克号》、《请以你的名字呼唤我》、《白雪公主和七个小矮人》、《乱世佳人》和《星际穿越》。
请告诉我昨天发生的三个新闻故事。,
"解释何为""逆向工程""？",
把这个段落的三个主要点列出来。,纽约市是美国最大的城市之一，也是一个世界上最温暖、最鼓舞人心的城市。它拥有世界上最好的博物馆、图书馆和广场，以及一些知名的建筑如自由女神像、帝国大厦和洛克菲勒中心。此外，纽约市还是一个多元文化的城市，你可以在那里品尝到来自世界各地的美食，并体验到各种的艺术形式。
在下面的句子中，找出第一个动词和它的时态。,"Emma has never been to Paris before, but she is planning to go there next summer."
"将下列句子的语法修改为正确的形式： ""我放了我的钥匙在桌子上""。",
请编写一篇关于全球变暖的1页报告。,
为指定的问题设计一个解决方案。,如何保护绵羊免受狼的攻击？
使用从给定文本中提取出的单词创建一个新的句子。,文本：她的心灵深处里有一股坚不可摧的力量。
将以下两句话合并成一句话。,"1. 我们的公司正在推出一项新的产品。
2. 它将改变市场的规则。"
将给定的一段文字转化为它的反义词。,"""今天是阳光明媚的日子，一切都那么美好。"""
请根据以下條件列出文章標題。,"内容需要圍繞著旅遊相關的主題。
-50字左右的關鍵字；
-包含“必看”和“攻略”兩個詞；
-標題應能吸引讀者；"
为这个主题提供5个关于自然语言处理的相关话题。,主题：人工智能
对以下图像进行分类，识别出图片中的物品。,图片：（提供一张图片）
请告诉我10年后的今天是几月几日。,
列出以下名人的出生顺序。,拜伦和雪莉是两位著名的诗人，达芬奇和米开朗基罗是两位著名的艺术家。
以五个步骤列出如何学习一门新的技能。,
找到这本书的出版日期和作者信息。,正在读一本关于自然历史的书。
请写出下一条只有短信长度的微博消息。,
"将这个句子中的单词用“*”替换，但最后一个单词保持不变。输出结果。
句子：“The quick brown fox jumps over the lazy dog”",
列出至少三种可持续的食品来源。,
根据所提供的要求，为一篇科技文献进行排版。,以下是一份未排版过的科技研究文献。
请告诉我以下数字的罗马数字形式。,数字：827、463、2065、99。
