instruction_zh,input_zh
"请提供这些城市的首都和它们所在的国家：
纽约
悉尼
东京
开罗",
使用Numpy库，创建一个10x10的矩阵，其中对角线上的元素为1，其他元素为0。,
给定以下数据，请设置三个Excel公式来计算均值、中位数和标准偏差。,数据：15，16，18，19，22，24，28，32，36
告诫我什么是良好的编码实践。,我正在编写一个Python程序，需要保证代码的可读性和易于维护。
如何用食材制作披萨？,
在这个文件夹中查找所有.pdf文件并将它们复制到一个新的文件夹中。,你的电脑上有一个名为“documents”的文件夹，它包含许多类型的文件，包括.pdf。
描述一个你喜欢的电影并解释你的理由。,《阿甘正传》是我最喜欢的电影之一。它是一部充满希望和启示的电影，讲述了一个普通人获得成功的故事。
写出一篇关于食品安全的评论，并提出至少一种改善措施。,最近，许多食品公司的产品被曝出存在安全问题，这引起了公众的担忧。据报道，这些问题主要涉及添加剂和保鲜剂。许多消费者认为政府应加强监管并提高食品安全标准。
确定以下数学问题的答案。,3 + 4 × 5 = ?
请写一篇文章，介绍如何有效地组织和管理日常任务。,我总觉得自己在应对日常任务上不够高效。
使用Python编写一个函数，计算两个数的最大公约数。,"a = 48
b = 64"
请从以下文章中抽取出主要的观点。,以下是一篇包含大量信息和细节的文章，它介绍了一个新的科技发明。我们需要你的帮助，抽取出这篇文章中的主要观点，以便我们更好地理解这项新技术。
对于该电影，描述您最喜欢和最不喜欢的方面。,您刚刚完成了一部您已经观看过的电影。
将以下短语的每个单词的第一个字母大写。,north america
将以下两个句子组合成一个新的句子。输出新句子。,句子1: 水果非常新鲜。句子2: 它们是昨天新鲜采摘的。
生成一条有关当地天气的推文。,无。
将以下这篇文章的中心思想提炼出来。,这是一篇关于克林·东伍德的文章，他是美国著名历史学家，被认为是20世纪最具影响力的历史学家之一。
从一段长篇小说中提取一段摘要，并概括它的重点内容。,提取《百年孤独》中的一段摘要，并概括其中的主要内容。
"以递增顺序列出以下数字：9, 7, 11, 13, 3, 6。",
给出五个和“梨”有关的词汇。,梨是一种水果。
"使用以下“姓名”和“得分”数据创建一个DataFrame：

| 姓名       | 得分 |
| ---------- | ---- |
| 小红   | 92   |
| 小明   | 86   |
| 小刚 | 72   |",
为我推荐一些新电影。,我正在寻找一些好电影来观看。
将以下句子翻译为法语。,我们计划在六月去德国。
计算以下两个数字之和：16和32。,数学中的算术是最基础的学科之一。它涉及到数字、运算符和数学符号等元素。请计算以下两个数字之和。
请为该网站添加一个注册表单。,
请写一篇关于健康饮食习惯的文章。,我在编写一份关于健康生活的指南，需要一篇简单易懂的关于健康饮食的文章。
请为某个主题或主人公创建一个电影或电视节目的概念。,无。
"请在下面的句子中加入一个逗号。
“我喜欢旅行但我不喜欢坐飞机。”",
编写一篇总结您刚刚阅读的文章的短文。,"您刚刚完成了一篇关于自然生态的文章的阅读。请您用一些简洁明了的语句，总结此文章的主要内容。

文本框大小：200字以内。"
"请给这段文字加上下划线。
“她是一个美丽，狡猾的人，总是把别人想得很简单。”",
请为虚拟现实游戏设计以下五个关卡。,虚拟现实游戏是一种越来越受欢迎的游戏类型，它可以让玩家沉浸在一个虚拟的世界中。您需要设计以下五个关卡，以使游戏更加有趣和富有挑战性。
"在以下列表中查找一个元素，将其从列表中移除并打印新列表。

[""apple"", ""banana"", ""orange"", ""kiwi"", ""pear"", ""melon"", ""strawberry""]",
生成一篇介绍世界上最高的山峰珠穆朗玛峰的文章。,"珠穆朗玛峰  | 高度：8,848米
山脉：喜马拉雅山脉，位于尼泊尔和中国之间
首次成功登顶时间：1953年5月29日
登顶者：爱德蒙·希拉里（New Zealander）和丹尼斯·冈·纳尔·（Sherpa）"
将以下片段连接起来，形成一篇连续的文章。,"片段1： 热带植物生长在这里。
片段2： 人们经常在这里游泳。
片段3： 这附近有很多渔船。"
根据给定的视频文件，撰写一篇简短的总结。,视频：一位人物演讲，探讨了日益严重的气候变化问题。您必须观看整个视频，时长约为15分钟。
将这个电视台的最新节目表发到各个社交媒体平台上。,"电视台：趣味频道
最新节目表：8：00-9：00电视游戏节目，9：00-10：00真人秀，10：00-11：00相亲秀，11：00-12：00美容健康。"
为以下数据创建一个图表：每个月的销售额和毛利额。,"数据：
1月：销售额-14,000，毛利额-3,000
2月：销售额-23,000，毛利额-6,000
3月：销售额-16,000，毛利额-4,000
4月：销售额-18,000，毛利额-5,000
5月：销售额-25,000，毛利额-7,000
6月：销售额-20,000，毛利额-5,500"
描述一下黑洞及其性质。,无。
根据给定的文本数据，使用NLP技术进行文本挖掘。,我们有一篇新闻报道的文本数据，需要你使用NLP技术进行文本挖掘，提取其中的关键词和主题。新闻报道的主题是关于新冠疫情在全球的传播和影响。
根据给定的主题和字数，创作一首诗歌。,主题：爱情；字数：12。
计算同时拥有三个不同数字的所有5位数的数量。例如，52468是有效的，但55598不是有效的。,
为这个问题寻找答案：“蚊子嗡嗡声是怎么发出来的？”,
请为一个名为“我在行动”的项目书写计划,你正在为一个名为“我在行动”的项目编写一份计划，这个项目旨在帮助人们更好地理解他们的行动方式并提供改进建议。
列出3种可以用来减轻压力的方法。,今天我度过了糟糕的一天，感觉非常累。你有什么建议可以帮助我减轻压力吗？
找到给定数列中的最大值和最小值。,"给定一个数列：4, 5, 7, 1, 9, 3, 8, 6, 2, 0。请用程序找出数列中的最大值和最小值。"
"翻译以下句子：""The pen is on the table.""",
从以下句子中删除所有的冠词和介词。,在那个大城市的街上，你可以看到一些非常高的建筑物。
请为以下十个人物写荣誉称号。,以下是十个不同类型的人物，包括历史人物、文化人物、科学家等。您需要为每个人物写一个荣誉称号，以表彰他们的贡献和成就。
告诉我到下一个周末还有多少天？,无。
使用以下数据，请计算百分比：有三个女孩和七个男孩参加了到校旅行的活动。,
根据这几条股票信息，预测下一天的股市趋势。,我正在考虑购买一些股票，但我不知道股市的走向将如何，希望可以预测一下。
创建一个名为“我的待办事项”的电子表格，用于记录你的日常任务和时间表。,无。
使用给定的数学公式计算给定数的[平方根]。,计算25的平方根。
列举出人类从历史中学到的最大的教训是什么。,
写一篇200字的文章，论述新冠疫情如何影响了旅游业。,
写一篇关于自然保护的文章。,许多动物濒临灭绝。需要保护自然资源和生态平衡。
找到一篇关于气候变化的新闻文章，并给出主旨。,
数出此刻你身上的衣服数目。,
